program,January1st,January2nd,January3rd,January4th,January5th,January6th,January7th,January8th,January9th,January10th,January11th,January12th,January13th,January14th,January15th,January16th,January17th,January18th,January19th,January20th,January21st,January22nd,January23th,January24th,January25th,January26th,January27th,January28th,January29th,January30th,January31st
Actuarial Science (PG),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Actuarial Science (UG),0,1,0,0,0,1,0,1,0,0,0,1,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Applied Sciences (PG),2,2,1,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Applied Sciences (UG),2,1,1,0,0,3,2,0,0,1,0,1,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Architecture (PG),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Architecture (UG),1,0,0,1,0,0,1,0,1,1,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Business (PG),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Business (UG),2,1,3,5,9,3,0,2,2,2,1,0,4,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Engineering (PG),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Engineering (UG),0,2,0,3,1,2,0,0,2,0,1,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
FMHS (PG),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
FMHS (UG),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
FMHS (UG) - Nursing,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
FOSSLA (PG),1,0,0,0,0,2,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
FOSSLA (UG),0,0,1,0,0,2,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Foundation in Arts,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Foundation in Science,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
FPS (PG),1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
FPS (UG),0,0,0,4,2,1,1,1,1,0,0,3,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
GBS (PG),2,6,1,0,1,1,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Hospitality (PG),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Hospitality (UG),0,0,1,1,1,0,2,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
IASDA (PG),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
IASDA (UG),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ICAD (PG),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ICAD (UG),3,2,2,1,1,0,1,1,0,1,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
IMUS (PG),0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
IMUS (UG),0,0,0,0,2,0,1,0,1,0,0,2,1,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
IT (PG),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
IT (UG),1,1,1,0,0,0,1,1,0,0,2,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SEC-General Scholarship,4,5,6,6,7,5,6,5,1,4,4,7,4,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SEC-Foundation,5,6,6,4,9,11,10,5,9,2,4,6,6,5,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SEC-UEC,0,0,0,0,0,0,0,0,0,0,1,4,1,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
