program,August1st,August2nd,August3rd,August4th,August5th,August6th,August7th,August8th,August9th,August10th,August11th,August12th,August13th,August14th,August15th,August16th,August17th,August18th,August19th,August20th,August21st,August22nd,August23th,August24th,August25th,August26th,August27th,August28th,August29th,August30th,August31st
Actuarial Science (PG),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Actuarial Science (UG),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Applied Sciences (PG),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Applied Sciences (UG),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Architecture (PG),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Architecture (UG),1,0,0,2,2,1,0,1,0,1,1,1,1,0,0,0,1,1,0,1,0,0,0,0,2,0,0,0,0,0,0
Business (PG),0,1,0,0,0,3,0,0,0,0,0,0,0,0,1,0,2,2,0,0,0,0,0,2,1,0,0,0,0,0,0
Business (UG),0,2,6,0,0,0,0,5,1,0,0,1,1,0,5,2,2,0,0,2,0,0,6,3,0,0,0,0,0,0,0
Engineering (PG),0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Engineering (UG),1,0,0,0,1,0,1,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
FMHS (PG),1,0,0,0,2,3,0,0,1,0,0,0,0,1,0,1,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0
FMHS (UG),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
FMHS (UG) - Nursing,0,1,1,0,1,3,1,3,0,0,1,0,0,0,2,0,1,0,1,0,0,0,0,1,0,1,0,0,0,0,0
FOSSLA (PG),0,1,1,0,0,0,0,1,2,1,0,2,0,0,0,0,0,0,1,2,1,0,1,0,1,1,0,0,0,0,0
FOSSLA (UG),5,3,4,14,5,2,1,1,1,0,2,4,2,19,9,3,0,1,3,1,2,1,6,5,12,9,3,0,0,0,0
Foundation in Arts,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Foundation in Science,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
FPS (PG),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
FPS (UG),1,0,1,2,1,1,4,1,1,0,0,1,4,1,5,1,1,2,1,1,2,1,2,0,0,2,0,0,0,0,0
GBS (PG),2,4,7,14,4,7,4,7,6,14,6,3,3,4,2,8,9,7,4,6,8,2,5,7,6,3,0,0,0,0,0
Hospitality (PG),0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
Hospitality (UG),1,0,1,0,1,3,1,1,0,0,1,2,2,2,1,2,0,4,1,1,3,0,0,2,0,1,0,0,0,0,0
IASDA (PG),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
IASDA (UG),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ICAD (PG),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ICAD (UG),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
IMUS (PG),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
IMUS (UG),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
IT (PG),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
IT (UG),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SEC-General Scholarship,1,2,1,0,1,1,0,0,1,1,1,1,0,0,1,1,0,1,2,0,1,0,0,0,0,0,1,0,0,0,0
SEC-Foundation,2,3,3,2,2,5,2,2,2,1,3,2,6,5,1,3,0,2,4,4,2,5,4,4,5,1,1,0,0,0,0
SEC-Diploma & Foundation,10,6,8,6,3,9,5,10,6,2,4,2,7,4,10,4,5,4,3,8,5,6,5,1,1,2,0,0,0,0,0
SEC-MARA Scholarship,2,3,0,3,3,6,4,3,1,2,0,2,3,1,2,4,1,5,4,3,1,0,1,1,1,0,0,0,0,0,0
SEC-UEC,3,2,1,1,4,7,4,6,3,1,1,4,3,3,0,4,1,3,2,2,1,0,3,2,1,1,0,0,0,0,0
SEC-Open Day/Enrolment Day/Info Day,1,0,0,0,0,0,2,0,1,0,0,2,2,2,1,1,1,0,1,1,2,2,3,0,1,1,1,0,0,0,0
